央视,#genre#
NewTV中国功夫,http://ott.js.chinamobile.com/PLTV/3/224/3221227530/index.m3u8
NewTV怡伴健康,http://ott.js.chinamobile.com/PLTV/3/224/3221227612/index.m3u8
NewTV军事评论,http://ott.js.chinamobile.com/PLTV/3/224/3221227544/index.m3u8
NewTV军旅剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221227603/index.m3u8
NewTV农业致富,http://ott.js.chinamobile.com/PLTV/3/224/3221227588/index.m3u8
NewTV动作电影,http://ott.js.chinamobile.com/PLTV/3/224/3221227606/index.m3u8
NewTV古装剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221227542/index.m3u8
NewTV家庭剧场,http://ott.js.chinamobile.com/PLTV/3/224/3221227600/index.m3u8
NewTV惊悚悬疑,http://ott.js.chinamobile.com/PLTV/3/224/3221227536/index.m3u8
NewTV武搏世界,http://ott.js.chinamobile.com/PLTV/3/224/3221227533/index.m3u8
NewTV炫舞未来,http://ott.js.chinamobile.com/PLTV/3/224/3221227475/index.m3u8
NewTV爱情喜剧,http://ott.js.chinamobile.com/PLTV/3/224/3221227548/index.m3u8
NewTV精品体育,http://ott.js.chinamobile.com/PLTV/3/224/3221227615/index.m3u8
NewTV精品大剧,http://ott.js.chinamobile.com/PLTV/3/224/3221227618/index.m3u8
NewTV精品纪录,http://ott.js.chinamobile.com/PLTV/3/224/3221227547/index.m3u8
NewTV金牌综艺,http://ott.js.chinamobile.com/PLTV/3/224/3221227541/index.m3u8
NewTV明星大片,http://ott.js.chinamobile.com/PLTV/3/224/3221227594/index.m3u8
CHC,#genre#
CHC动作电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://111.20.105.60:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
